事業所名,区,所在地,営業時間,TEL,PCR検査等,抗原定性検査,備考
薬局トモズ銀座三丁目店,中央区,中央区銀座三丁目10-1 1階,"月〜金　9:00〜19:00
土日祝　休み",,True,True,
薬局トモズ銀座八丁目店,中央区,中央区銀座8-12-1 セイコー銀座ビル1階,"月〜金　9:00〜18:00
土日祝　休み",,True,True,
薬局トモズ浜松町店,港区,港区浜松町1-29-6 浜松町セントラルビル1階,"月〜金　10:00〜19:00
土　10:00〜17:00
日祝　休み",,True,True,
薬局トモズ麻布十番店,港区,港区麻布十番3-7-11シャトーデスポワール麻布101号,"月〜金　10:00〜19:00
土日祝　休み",,True,True,
薬局トモズ女子医大前２号店,新宿区,新宿区若松町3-3 井関ビル,"月〜金　9:00〜18:00
土　9:00〜14:00
第3土、日祝　休み",,True,True,
薬局トモズ女子医大前店,新宿区,新宿区若松町3-2,"月〜金　9:00〜18:00 
土　9:00〜15:00 
第3土、日祝　休み",,True,True,
薬局トモズ新宿二丁目店,新宿区,新宿区新宿2-5-10 成信ビル1階,"月〜金　9:00〜18:00
土　9:00〜13:00
日祝　休み",,True,True,
薬局トモズ高田馬場店,新宿区,新宿区高田馬場3-12-2 高田馬場OCビル1F,"月〜金　9:30〜19:30
土　9:30〜14:30
日祝　休み",,True,True,
ベイ薬局 本所店,墨田区,墨田区本所4-14-5,"月火水金　9:00〜13:00/14:30〜18:00
土　9:00〜13:00
木日祝　休み",,True,True,
薬局トモズ 向島店,墨田区,墨田区八広1-7-1,"月火水金　9:00〜19:00
木　9:00〜17:00
土　10:00〜14:00
日祝　休み",,True,True,
薬局トモズ 押上店,墨田区,墨田区押上1-11-4レガーレ伊勢元1階,"月火水金　9:00〜13:00/15:00〜19:30
土　9:00〜12:00
木日祝　休み",,True,True,
薬局トモズ両国店,墨田区,墨田区横網1-10-12 高安ビル,"月〜金　9:00〜18:00
土　9:00〜13:00 
日祝　休み",,True,True,
ベイ薬局亀戸三丁目店,江東区,江東区亀戸3-50-4,"月〜金　9:00〜18:00
土　9:00〜13:00
第1第3 土、日祝　休み",,True,True,
ベイ薬局扇橋店,江東区,江東区扇橋2-17-3秋元ビル1階,"月水金　9:00〜12:30/14:00〜19:00
火土日　9:00〜12:00
木祝　休み",,True,True,
薬局トモズ 亀戸東口店,江東区,江東区亀戸6-58-12 Y&Sビル,"月〜土　9:30〜19:30
日祝　休み",,True,True,
薬局トモズ 有明ガーデン店,江東区,江東区有明2-1-8-2階,"月〜金　9:00〜21:00
土　9:00〜19:00
日祝　9:00〜19:00
無休",,True,True,
薬局トモズ 東大島店,江東区,江東区大島7-39-1 ソフィア東大島105,"月〜金　9:00〜18:00
土　9:00〜13:00
日祝　休み",,True,True,
薬局トモズ パークシティ武蔵小山ザモール店,品川区,品川区小山3-15-1,"月〜金　10:00〜19:00
土日祝　10:00〜18:00
無休",,True,True,
薬局トモズ 中延店,品川区,品川区東中延2-7-16,"月火木金　9:00〜20:00
水　9:00〜19:00
土　9:00〜14:00
日祝　休み",,True,True,
薬局トモズ 五反田店,品川区,品川区西五反田2-28-5,"月〜金　9:30〜19:30
土　10:00〜17:00
日祝　休み",,True,True,
薬局トモズ エトモ祐天寺店,目黒区,目黒区祐天寺2-13-4,"月〜金　9:00〜19:30
土　9:30〜14:00
日祝　休み",,True,True,
薬局トモズ 洗足店,目黒区,目黒区洗足2-7-15,"月〜金　9:00〜20:00
土　9:00〜18:00
日祝　休み",,True,True,
薬局トモズ 蒲田店,大田区,大田区西蒲田七丁目66番4号 1階,"月〜金　9:00〜19:00
土　9:00〜13:00
日祝　休み",,True,True,
薬局トモズ 長原店,大田区,大田区上池台1-13-6 三葉ビル1階,"月火水金　9:00〜19:00
木　9:00〜17:00
土　9:00〜13:00
日祝　休み",,True,True,
薬局トモズ 上馬店,世田谷区,世田谷区上馬3-6-11 コンフォリア世田谷上馬 1F,"月〜金　9:30〜19:00
土　9:30〜17:00
日祝　休み",,True,True,
薬局トモズ 下北沢店,世田谷区,世田谷区代田6-1-28 白洋ビル1階,"月火木金　10:00〜19:00
水土　9:00〜17:00
日祝　休み",,True,True,
薬局トモズ 代沢店,世田谷区,世田谷区代沢5-8-14,"月〜金　9:00〜18:30
土　9:00〜16:00
日祝　休み",,True,True,
薬局トモズ 成城南口店,世田谷区,世田谷区成城2-40-2成城駅前1F,"月金　9:00〜19:00
火水木　9:00〜19:30
土　9:00〜16:00
日祝　休み",,True,True,
薬局トモズ 等々力北口店,世田谷区,世田谷区等々力三丁目5番2号,"月火木金　9:00〜19:30
水　9:00〜18:00
土　9:00〜14:00
日祝　休み",,True,True,
薬局トモズ 等々力南口店,世田谷区,世田谷区等々力2-32-14,"月火水金　9:00〜19:30
水　9:00〜17:00
土　9:00〜14:00
日祝　休み",,True,True,
薬局トモズ 野沢店,世田谷区,世田谷区野沢二丁目5番20号,"月火水金　9:00〜19:00
木土　9:00〜12:00
日祝　休み",,True,True,
薬局トモズ 駒沢店,世田谷区,世田谷区駒沢四丁目1番1号ノア駒沢B1階,"月火木金　9:00〜19:00
土　9:00〜13:30
水日祝　休み",,True,True,
薬局トモズ 駒沢駅前店,世田谷区,世田谷区上馬4-4-5,"月〜土　9:30〜20:00
日祝　10:00〜18:00",,True,True,
薬局トモズ上野毛店,世田谷区,世田谷区中町2-23-10,"月〜金　10:00〜18:00
土日祝　休み",,True,True,
薬局トモズ 幡ヶ谷店,渋谷区,渋谷区西原2-31-4,"月〜金　9:00〜19:00
土　9:00〜17:00
日祝　休み",,True,True,
薬局トモズ 渋谷並木橋店,渋谷区,渋谷区渋谷三丁目10-13 渋谷Rサンケイビル1階,"月〜金　9:00〜19:00
土　9:00〜14:00
日祝　休み",,True,True,
薬局トモズ 新高円寺店,杉並区,杉並区梅里1-6-1カーサクロヤナギ1階,"月火木金　9:00〜19:30
水　9:30〜19:30
土　 9:00〜17:30
日祝　休み",,True,True,
薬局トモズ 東高円寺店,杉並区,杉並区高円寺南1-7-4,"月〜金　9:00〜19:30
土　9:00〜18:00
日祝　休み",,True,True,
薬局トモズ 梅里店,杉並区,杉並区梅里2-9-8,"月〜金　9:00〜19:00
土　9:00〜13:00
日祝　休み",,True,True,
薬局トモズ 西永福店,杉並区,杉並区永福4-19-3,"月〜金　9:00〜19:00
土　9:00〜17:00
日祝　休み",,True,True,
薬局トモズ 西荻窪店,杉並区,杉並区西荻北三丁目19番1号,"月〜日　10:00〜18:00
祝　休み",,True,True,
薬局トモズ 上板橋北口店,板橋区,板橋区常盤台4-31-3,"月〜土　10:00〜19:00
日祝　休み",,True,True,
薬局トモズ 上板橋南口店,板橋区,板橋区上板橋1-25-10 JTプラザ上板橋1F,"月火水金　9:00〜18:30
木土　9:00〜17:00
日祝　休み",,True,True,
薬局トモズ 下赤塚店,板橋区,板橋区赤塚2-2-18,"月〜金　10:00〜19:00
土日祝　休み",,True,True,
薬局トモズ 大山店,板橋区,板橋区大山町36-10くじゃくやビル1階,"月〜金　9:00〜19:00
土　9:00〜18:00
日　 10:00〜14:00
祝　休み",,True,True,
薬局トモズ 大谷口店,板橋区,板橋区大谷口2-67-3,"月〜日　9:00〜18:00
無休",,True,True,
薬局トモズ Coconeri店,練馬区,練馬区練馬1-17-1 2階,"月〜土　9:00〜18:00
日　9:00〜12:30
祝　休み",,True,True,
薬局トモズ 大泉学園店,練馬区,練馬区東大泉1丁目31-1,"月火木金　9:00〜19:00
水　9:00〜17:00
土　9:00〜18:00
日祝　休み",,True,True,
薬局トモズ 練馬高野台店,練馬区,練馬区高野台1-7-33,"月〜金　9:00〜18:00
土　9:00〜15:00
日祝　休み",,True,True,
薬局トモズ石神井公園店,練馬区,練馬区石神井町二丁目8番21号MJYビル1階,"月〜金　9:00〜19:00
土　9:00〜18:00
日祝　休み",,True,True,
薬局トモズ お花茶屋店,葛飾区,葛飾区宝町二丁目34番16号 1階,"月火木金　9:00〜19:00
水　9:00〜18:00
土　9:00〜13:00
日祝　休み",,True,True,
薬局トモズ 葛飾青戸店,葛飾区,葛飾区青戸8-3-10 リバティー亀有?,"月火水金　8:30〜12:00/15:00〜18:30
土　8:30〜12:00
木日祝　休み",,True,True,
エース調剤薬局,江戸川区,江戸川区松江2-16-5 池田マンション1階,"月火水金　9:00〜13:00/15:00〜19:00
木土　9:00〜13:00
日祝　休み",,True,True,
セルフ調剤薬局松江店,江戸川区,江戸川区松江2-43-8,"月〜土　9:00〜19:30
日　9:00〜13:00
祝　9:00〜17:00
無休",,True,True,
セルフ調剤薬局葛西店,江戸川区,江戸川区東葛西6-15-16 ステラ?スゴン1階,"月〜金　9:00〜18:00
土　9:00〜13:30
日祝　休み",,True,True,
薬局トモズ 椚田店,八王子市,八王子市椚田町557-25,"月火水金　9:00〜12:30/14:30〜19:00
木土　9:00〜12:30
日祝　休み",,True,True,
薬局トモズ 東小金井店,小金井市,小金井市梶野町5-2-27,"月〜金　9:00〜19:00
土　9:00〜13:00
日祝　休み",,True,True,
薬局トモズ 花小金井店,小平市,小平市花小金井4-32-9,"月〜金　9:00〜19:00
土　9:00〜13:00
日祝　休み",,True,True,
薬局トモズ 久米川店,東村山市,東村山市栄町1-5-6,"月〜金　9:00〜18:30
土　9:00〜14:00
日祝　休み",,True,True,
薬局トモズ清瀬店,清瀬市,清瀬市元町1-3-10,"月〜金　9:00〜19:00
土　9:00〜18:00
日祝　休み",,True,True,
ファーコス薬局　千住桜木,足立区,足立区千住桜木2-11-7,"月〜金　13:00〜17:00
問い合わせ　月〜金　10:00〜17:00
土日祝　休み",,False,True,メールアドレスなしで受検可能
薬局ワンザファーマシー,江東区,江東区有明3-6-11東京ファッションタウンビル東館 2 階,"月〜金　10:30〜19:30
土　10:30〜16:00
日祝　休み",,False,True,メールアドレスなしで受検可能
ぽっぽ薬局,荒川区,荒川区西日暮里2-26-5,"月〜金　9:00〜13:30/15:00〜19:00
土　9:00〜13:30
日　9:00〜13:00
水祝　休み",,False,True,メールアドレスなしで受検可能
医療法人社団MYメディカル　MYメディカルクリニック大手町,千代田区,千代田区大手町2-3-1 大手町プレイス地下2階,"月〜金　9:00〜12:30/13:30〜16:30/18:00〜20:15
土祝　9:00〜12:30/13:30〜16:30
日　休み",,True,False,
神田神保町の接骨院・はり灸院,千代田区,千代田区神田神保町2-2太田ビル1階,"月〜日　10:00〜12:00/13:00〜18:00   
無休",,True,False,
文京ガーデンSmile接骨院・はり灸院,文京区,文京区小石川1-1-7  文京ガーデンセンターテラス101,"月〜日（祝含む）　10:00〜12:00/13:00〜18:00   
無休",,True,False,
みのる整骨院,江東区,江東区大島5丁目47-5-102,"月〜日（祝含む）　10:00〜12:00/13:00〜18:00
無休",,True,False,
おおもりまち駅の接骨院・はり灸院,大田区,大田区大森西5-9-3,"月〜日（祝含む）　10:00〜12:00/13:00〜18:00
無休",,True,False,
三軒茶屋栄通りの接骨院・はり灸院,世田谷区,世田谷区三軒茶屋1-35-3  スプラウトビル1階,"月〜日（祝含む）　10:00〜12:00/13:00〜18:00
無休",,True,False,
下北沢駅の接骨院・はり灸院,世田谷区,世田谷区北沢2丁目17-14,"月〜日（祝含む）　10:00〜12:00/13:00〜18:00
無休",,True,False,
世田谷の鍼灸整骨院,世田谷区,世田谷区船橋1丁目11−3,"月〜日（祝含む）　10:00〜12:00/13:00〜18:00
無休",,True,False,
焼肉うしお三軒茶屋店,世田谷区,世田谷区三軒茶屋２丁目１５−１４ ＡＢＣビル 2F,"月〜日（祝含む）　11:30〜15:00/16:00〜20:30
無休",,True,False,
豪徳寺の鍼灸整骨院,世田谷区,世田谷区豪徳寺1丁目25-6BEANS・Q1F,"月〜日（祝含む）　10:00〜12:00/13:00〜18:00
無休",,True,False,
医療法人社団MYメディカル　MYメディカルクリニック渋谷,渋谷区,渋谷区宇田川町20-17 NMF渋谷公園通りビル4階,"月〜金　9:00〜12:30/13:30〜16:30/18:00〜20:15
土日祝　9:00〜12:30/13:30〜16:30
無休",,True,False,
